2025-02-27 20:18:38 status half-installed wget:amd64 1.21.4-1ubuntu4.1
2025-02-27 20:18:38 status unpacked wget:amd64 1.21.4-1ubuntu4.1
2025-02-27 20:18:38 install xauth:amd64 <none> 1:1.1.2-1build1
2025-02-27 20:18:38 status half-installed xauth:amd64 1:1.1.2-1build1
2025-02-27 20:18:38 status unpacked xauth:amd64 1:1.1.2-1build1
2025-02-27 20:18:38 install libbrotli1:amd64 <none> 1.1.0-2build2
2025-02-27 20:18:38 status half-installed libbrotli1:amd64 1.1.0-2build2
2025-02-27 20:18:38 status unpacked libbrotli1:amd64 1.1.0-2build2
2025-02-27 20:18:38 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg1-5ubuntu3.1
2025-02-27 20:18:38 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-02-27 20:18:38 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-02-27 20:18:38 install libsasl2-2:amd64 <none> 2.1.28+dfsg1-5ubuntu3.1
2025-02-27 20:18:38 status half-installed libsasl2-2:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-02-27 20:18:38 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-02-27 20:18:38 install libldap2:amd64 <none> 2.6.7+dfsg-1~exp1ubuntu8.2
2025-02-27 20:18:38 status half-installed libldap2:amd64 2.6.7+dfsg-1~exp1ubuntu8.2
2025-02-27 20:18:38 status unpacked libldap2:amd64 2.6.7+dfsg-1~exp1ubuntu8.2
2025-02-27 20:18:38 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2build7
2025-02-27 20:18:38 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build7
2025-02-27 20:18:38 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build7
2025-02-27 20:18:38 install libssh-4:amd64 <none> 0.10.6-2build2
2025-02-27 20:18:38 status half-installed libssh-4:amd64 0.10.6-2build2
2025-02-27 20:18:38 status unpacked libssh-4:amd64 0.10.6-2build2
2025-02-27 20:18:38 install libcurl4t64:amd64 <none> 8.5.0-2ubuntu10.6
2025-02-27 20:18:38 status half-installed libcurl4t64:amd64 8.5.0-2ubuntu10.6
2025-02-27 20:18:38 status unpacked libcurl4t64:amd64 8.5.0-2ubuntu10.6
2025-02-27 20:18:38 install curl:amd64 <none> 8.5.0-2ubuntu10.6
2025-02-27 20:18:38 status half-installed curl:amd64 8.5.0-2ubuntu10.6
2025-02-27 20:18:38 status unpacked curl:amd64 8.5.0-2ubuntu10.6
2025-02-27 20:18:38 install libcurl3t64-gnutls:amd64 <none> 8.5.0-2ubuntu10.6
2025-02-27 20:18:38 status half-installed libcurl3t64-gnutls:amd64 8.5.0-2ubuntu10.6
2025-02-27 20:18:38 status unpacked libcurl3t64-gnutls:amd64 8.5.0-2ubuntu10.6
2025-02-27 20:18:38 install liberror-perl:all <none> 0.17029-2
2025-02-27 20:18:38 status half-installed liberror-perl:all 0.17029-2
2025-02-27 20:18:38 status unpacked liberror-perl:all 0.17029-2
2025-02-27 20:18:38 install git-man:all <none> 1:2.43.0-1ubuntu7.2
2025-02-27 20:18:38 status half-installed git-man:all 1:2.43.0-1ubuntu7.2
2025-02-27 20:18:38 status unpacked git-man:all 1:2.43.0-1ubuntu7.2
2025-02-27 20:18:38 install git:amd64 <none> 1:2.43.0-1ubuntu7.2
2025-02-27 20:18:38 status half-installed git:amd64 1:2.43.0-1ubuntu7.2
2025-02-27 20:18:38 status unpacked git:amd64 1:2.43.0-1ubuntu7.2
2025-02-27 20:18:38 install libldap-common:all <none> 2.6.7+dfsg-1~exp1ubuntu8.2
2025-02-27 20:18:38 status half-installed libldap-common:all 2.6.7+dfsg-1~exp1ubuntu8.2
2025-02-27 20:18:39 status unpacked libldap-common:all 2.6.7+dfsg-1~exp1ubuntu8.2
2025-02-27 20:18:39 install libsasl2-modules:amd64 <none> 2.1.28+dfsg1-5ubuntu3.1
2025-02-27 20:18:39 status half-installed libsasl2-modules:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-02-27 20:18:39 status unpacked libsasl2-modules:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-02-27 20:18:39 install net-tools:amd64 <none> 2.10-0.1ubuntu4
2025-02-27 20:18:39 status half-installed net-tools:amd64 2.10-0.1ubuntu4
2025-02-27 20:18:39 status unpacked net-tools:amd64 2.10-0.1ubuntu4
2025-02-27 20:18:39 install patch:amd64 <none> 2.7.6-7build3
2025-02-27 20:18:39 status half-installed patch:amd64 2.7.6-7build3
2025-02-27 20:18:39 status unpacked patch:amd64 2.7.6-7build3
2025-02-27 20:18:39 install unzip:amd64 <none> 6.0-28ubuntu4.1
